GrLivArea,TotalBsmtSF,GarageCars,SalePrice
1710.0,856.0,2.0,208500
1262.0,1262.0,2.0,181500
1786.0,920.0,2.0,223500
1717.0,756.0,3.0,140000
2198.0,1145.0,3.0,250000
1362.0,796.0,2.0,143000
1694.0,1686.0,2.0,307000
2090.0,1107.0,2.0,200000
1774.0,952.0,2.0,129900
1077.0,991.0,1.0,118000
1040.0,1040.0,1.0,129500
2324.0,1175.0,3.0,345000
912.0,912.0,1.0,144000
1494.0,1494.0,3.0,279500
1253.0,1253.0,1.0,157000
854.0,832.0,2.0,132000
1004.0,1004.0,2.0,149000
1296.0,0.0,2.0,90000
1114.0,1114.0,2.0,159000
1339.0,1029.0,1.0,139000
2376.0,1158.0,3.0,325300
1108.0,637.0,1.0,139400
1795.0,1777.0,2.0,230000
1060.0,1040.0,2.0,129900
1060.0,1060.0,1.0,154000
1600.0,1566.0,3.0,256300
900.0,900.0,2.0,134800
1704.0,1704.0,3.0,306000
1600.0,1484.0,1.0,207500
520.0,520.0,1.0,68500
1317.0,649.0,1.0,40000
1228.0,1228.0,1.0,149350
1234.0,1234.0,2.0,179900
1700.0,1398.0,2.0,165500
1561.0,1561.0,2.0,277500
2452.0,1117.0,3.0,309000
1097.0,1097.0,2.0,145000
1297.0,1297.0,2.0,153000
1057.0,1057.0,1.0,109000
1152.0,0.0,0.0,82000
1324.0,1088.0,2.0,160000
1328.0,1350.0,1.0,170000
884.0,840.0,2.0,144000
938.0,938.0,1.0,130250
1150.0,1150.0,1.0,141000
1752.0,1752.0,2.0,319900
2149.0,1434.0,2.0,239686
1656.0,1656.0,3.0,249700
1452.0,736.0,0.0,113000
955.0,955.0,1.0,127000
1470.0,794.0,2.0,177000
1176.0,816.0,2.0,114500
816.0,816.0,2.0,110000
1842.0,1842.0,3.0,385000
1360.0,384.0,2.0,130000
1425.0,1425.0,2.0,180500
1739.0,970.0,2.0,172500
1720.0,860.0,2.0,196500
2945.0,1410.0,3.0,438780
780.0,780.0,1.0,124900
1158.0,1158.0,2.0,158000
1111.0,530.0,1.0,101000
1370.0,1370.0,2.0,202500
1710.0,576.0,2.0,140000
2034.0,1057.0,2.0,219500
2473.0,1143.0,3.0,317000
2207.0,1947.0,2.0,180000
1479.0,1453.0,2.0,226000
